131
0 0
0 784
500 0
500 784
106 259
110 294
116 328
125 361
143 392
168 417
197 440
229 456
264 457
294 447
314 421
331 393
345 363
352 331
354 298
351 266
347 235
133 252
147 232
172 223
198 223
223 230
256 225
277 213
299 208
321 211
334 228
244 249
247 273
251 297
254 321
221 330
237 334
255 339
270 331
283 324
164 262
177 255
192 253
208 259
193 261
178 263
272 252
285 242
299 240
312 244
301 248
287 250
188 359
212 356
236 354
255 356
272 351
294 348
315 346
298 375
278 391
259 395
240 395
214 384
195 360
237 361
256 362
274 357
309 350
276 376
257 381
238 380
130 151
155 148
194 151
237 147
289 132
312 137
341 185
112 194
124 166
103 242
346 215
325 154
277 142
199 46
93 121
121 79
161 57
322 92
287 57
245 43
68 162
78 215
85 254
79 252
77 282
92 317
100 343
112 346
348 201
353 250
358 284
133 412
113 442
91 465
0 501
137 551
159 532
181 518
120 472
137 505
167 502
147 478
132 449
130 430
227 541
231 558
259 590
291 556
310 524
320 498
324 482
330 423
340 465
327 515
350 554
365 464
499 503
266 684
273 781
