131
0 0
0 784
500 0
500 784
118 252
121 285
126 317
132 348
145 378
166 404
192 425
221 443
254 445
285 438
311 416
333 390
350 361
358 329
359 296
358 263
356 230
136 249
147 232
168 224
191 224
214 230
252 226
274 216
297 212
320 216
335 231
235 247
237 270
239 293
241 316
213 322
227 327
243 331
258 324
271 317
165 256
177 250
190 248
205 254
191 256
178 257
268 248
281 240
295 239
308 242
296 246
282 247
183 347
205 345
227 346
245 347
263 343
285 339
308 337
289 364
267 377
249 380
229 380
206 370
190 349
227 350
246 351
264 348
301 340
265 365
247 369
228 368
132 154
155 152
192 157
236 154
295 140
322 143
350 187
117 194
127 168
113 236
356 215
333 159
280 150
209 22
106 124
126 59
163 35
340 92
307 55
259 29
89 152
89 188
95 224
89 224
91 246
95 279
110 310
118 324
371 198
376 247
371 282
141 394
133 431
102 460
0 512
109 549
194 557
207 491
151 475
171 515
198 477
184 463
160 436
145 416
238 519
240 544
323 623
330 543
352 501
344 472
337 456
341 402
368 436
389 470
403 490
391 437
499 460
351 692
372 780
